dataset,view,metric,optimistic,reported,pessimistic,range,all_positive,sign_change
NanoMine,loading_focus_soft__no_settings__L0.25__K8,paper ARI gain vs material-only,0.0017555184317149999,0.0020061097221195,0.00027262507700159984,0.0017334846451179,True,False
NanoMine,loading_focus_soft__no_settings__L0.25__K12,paper ARI gain vs material-only,-0.022601421661969698,0.0380191632022342,0.0002045755026202998,0.0606205848642039,False,True
NanoMine,loading_focus_soft__no_settings__L0.25__K20,paper ARI gain vs material-only,-0.02467604008400799,0.03408159925646961,0.00015760727400249966,0.0587576393404776,False,True
NanoMine,loading_focus_soft__no_settings__L0.25__K30,paper ARI gain vs material-only,0.01437253668323571,0.046894158119722,0.00011434665687459983,0.046779811462847404,True,False
NanoMine,loading_focus_soft__no_settings__L0.25__K50,paper ARI gain vs material-only,0.10515841546172872,0.05007469997704689,0.0026325432444649,0.10252587221726382,True,False
NanoMine,loading_focus_soft__no_settings__L0.25__K80,paper ARI gain vs material-only,0.1436642526731372,0.188690892975374,0.0029808446111191,0.1857100483642549,True,False
NanoMine,loading_focus_soft__no_settings__L0.50__K8,paper ARI gain vs material-only,0.0661570105916688,0.029131345879524102,-0.0008988893390511001,0.0670558999307199,False,True
NanoMine,loading_focus_soft__no_settings__L0.50__K12,paper ARI gain vs material-only,0.046981781234975706,0.0817666129261365,0.00012583358855079978,0.0816407793375857,True,False
NanoMine,loading_focus_soft__no_settings__L0.50__K20,paper ARI gain vs material-only,0.04408982801936491,0.0739801244216356,0.0017939437837264996,0.0721861806379091,True,False
NanoMine,loading_focus_soft__no_settings__L0.50__K30,paper ARI gain vs material-only,0.12968208558105992,0.17653550729020928,0.0138320268046244,0.1627034804855849,True,False
NanoMine,loading_focus_soft__no_settings__L0.50__K50,paper ARI gain vs material-only,0.30645120612362675,0.1845797043702267,0.06084368521831669,0.24560752090531007,True,False
NanoMine,loading_focus_soft__no_settings__L0.50__K80,paper ARI gain vs material-only,0.3601746440400637,0.3544945092063687,0.2838607492843931,0.07631389475567063,True,False
NanoMine,loading_focus_soft__no_settings__L0.75__K8,paper ARI gain vs material-only,0.0650515681169734,0.0639789421150367,0.0384934614456467,0.026558106671326694,True,False
NanoMine,loading_focus_soft__no_settings__L0.75__K12,paper ARI gain vs material-only,0.0434551273311231,0.0679054453557749,0.06853376845182911,0.025078641120706013,True,False
NanoMine,loading_focus_soft__no_settings__L0.75__K20,paper ARI gain vs material-only,0.0768375865367439,0.1121987065540696,0.12534681122085,0.04850922468410611,True,False
NanoMine,loading_focus_soft__no_settings__L0.75__K30,paper ARI gain vs material-only,0.1944371436352087,0.21297783464075548,0.2316592608731837,0.037222117237975,True,False
NanoMine,loading_focus_soft__no_settings__L0.75__K50,paper ARI gain vs material-only,0.3000358163585751,0.3249284378497464,0.40018127091794714,0.10014545455937202,True,False
NanoMine,loading_focus_soft__no_settings__L0.75__K80,paper ARI gain vs material-only,0.34834961204527937,0.3705883903534194,0.6242966689229753,0.27594705687769594,True,False
NanoMine,loading_focus_soft__no_settings__L1.00__K8,paper ARI gain vs material-only,0.0359178239347653,0.0347179868325352,0.0352359126986558,0.0011998371022301016,True,False
