record_id,paper_group,system_id,system_label,view,cluster,pcoa1,pcoa2
l140-s8-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,3,0.19201795186598292,-0.09593356913411873
l211-s17-ash-2004,article:l211,S2,PMMA / Al2O3,balanced_instance,5,0.11992463546862245,0.1407640177363086
e116-s31-prasad-2018,article:e116,S1,PMMA / SiO2,balanced_instance,1,-0.2146445417752126,0.16339292427509614
l211-s15-ash-2004,article:l211,S2,PMMA / Al2O3,balanced_instance,5,0.12132882375368596,0.13973479151561585
l171-s18-rittigstein-2006,article:l171,S1,PMMA / SiO2,balanced_instance,2,-0.22785689565557932,0.09516255040797089
l254-s5-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.3709942253590184,0.12957193006119255
l140-s5-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,3,0.2099583885199738,-0.10074768601529095
l270-s8-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.09790719151115092,-0.1506017202391469
e116-s11-prasad-2018,article:e116,S1,PMMA / SiO2,balanced_instance,1,-0.21298554568432917,0.16423569747515288
l283-s5-salami-2012,article:l283,S1,PMMA / SiO2,balanced_instance,1,-0.14718949722106076,0.25014601936156183
l270-s3-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.09538137689149392,-0.14863050161814867
l225-s3-ma-2007,article:l225,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.32010080048414896,-0.17985296225056888
l254-s29-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.3604356536178384,0.13151776876824228
l141-s13-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,2,-0.07116354416450467,-0.24516229209306276
l389-s5-natarajan-2013,article:l389,S6,PS / SiO2,balanced_instance,2,-0.13897258318577627,-0.04220276151515487
l254-s36-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.34913784366044887,0.13354587546207397
l204-s12-bansal-2005,article:l204,S6,PS / SiO2,balanced_instance,2,-0.36770262575213997,-0.009815841254718039
l180-s3-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,2,-0.11027627192149693,-0.17490557079945024
l283-s11-salami-2012,article:l283,S1,PMMA / SiO2,balanced_instance,1,-0.1653031764964312,0.24836605316719237
l254-s28-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.3675457624371287,0.13119846533773205
l154-s3-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,3,0.06527845807264757,0.09209772738589526
l140-s2-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,3,0.19287414009549464,-0.0955678748972594
l141-s5-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,2,-0.16476605282177662,-0.32602355565579716
l203-s2-ma-2009,article:l203,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.1170936231833644,-0.12475621143275284
l209-s7-ash-2001,article:l209,S2,PMMA / Al2O3,balanced_instance,6,0.05645294162168,0.4615165808388607
l242-s6-narayanan-2006,article:l242,S2,PMMA / Al2O3,balanced_instance,4,-0.1928777368932747,0.03001830466600299
l204-s2-bansal-2005,article:l204,S6,PS / SiO2,balanced_instance,2,-0.20518345592232148,0.03924795300764419
l242-s9-narayanan-2006,article:l242,S2,PMMA / Al2O3,balanced_instance,2,-0.06411147356262208,0.07179251058701687
l275-s4-zhou-2006,article:l275,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.3543562458394624,-0.2021419268915363
l180-s6-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,2,-0.18515220629492662,-0.21656004745560536
l171-s28-rittigstein-2006,article:l171,S1,PMMA / SiO2,balanced_instance,2,-0.23562714431894827,0.09817794571487554
l230-s9-gojny-2004,article:l230,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.1212962964587482,-0.2347907732153915
l275-s5-zhou-2006,article:l275,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.35345894601649247,-0.20144646427655494
l230-s8-gojny-2004,article:l230,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.1218397804793802,-0.23529841547915992
l271-s3-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.23454269247302087,-0.2028773318263943
l180-s5-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,2,-0.15161272117827837,-0.18670636483031416
l389-s8-natarajan-2013,article:l389,S1,PMMA / SiO2,balanced_instance,2,-0.19695731195234134,0.010541077257754317
l209-s12-ash-2001,article:l209,S2,PMMA / Al2O3,balanced_instance,6,-0.02046051944116371,0.45605481406818865
l217-s6-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,2,-0.052218360720507645,0.11078165748630256
l118-s9-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.36475068530565125,-0.09238306011679676
l171-s27-rittigstein-2006,article:l171,S1,PMMA / SiO2,balanced_instance,2,-0.23330632739469268,0.09769187826136716
l154-s6-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,3,0.06527845807264758,0.09209772738589528
l154-s4-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,3,0.029187559270783387,0.08017960383702162
l217-s3-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,2,-0.052218360720507645,0.11078165748630256
l389-s6-natarajan-2013,article:l389,S6,PS / SiO2,balanced_instance,2,-0.18316071740235604,-0.05068316700008751
l389-s3-natarajan-2013,article:l389,S6,PS / SiO2,balanced_instance,2,-0.1393286126426477,-0.04062266014981449
l204-s4-bansal-2005,article:l204,S6,PS / SiO2,balanced_instance,2,-0.21912240942269332,0.04412335641000852
l203-s6-ma-2009,article:l203,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.11455273253823475,-0.12251753131572111
l118-s4-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.3500655857187465,-0.07148425160490487
l217-s4-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,2,-0.052218360720507624,0.1107816574863026
l271-s6-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.2593212380451977,-0.2692072140744798
l389-s12-natarajan-2013,article:l389,S1,PMMA / SiO2,balanced_instance,2,-0.19894976331107814,0.012494959786772399
l271-s5-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.2711328446669737,-0.2760766180353376
l271-s8-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.29344814458797047,-0.2529974222987247
l389-s11-natarajan-2013,article:l389,S1,PMMA / SiO2,balanced_instance,2,-0.1527699274713474,0.021618376017269483
e408-s24-prasad-2021,article:e408,S6,PS / SiO2,balanced_instance,1,0.03130468745728044,0.16243641328469716
l180-s4-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,2,-0.13221454260649773,-0.17861386592739525
e408-s3-prasad-2021,article:e408,S6,PS / SiO2,balanced_instance,1,0.029000777736581683,0.16499854911642378
l154-s2-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,3,0.09208747554952923,0.09980006005297505
l154-s5-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,3,0.09208747554952923,0.09980006005297506
