material_profile,process_profile,process_lambda,bound,requested_clusters,mean_pair_distance,mean_same_paper_distance,mean_cross_paper_distance,mean_interval_width,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
identity_strict,equal,0.0,reported,80,0.8708984851837158,0.1619073897600174,0.8812718391418457,0.20730875432491302,0.7815446339017051,0.0734933712149006,10.634219399412295,0.13464196848216753,9.337049134686335,0.2102815449087401,0.7866186775986993,80,0.21875,8437,0.22176128955789973,3.1803492048237545,92,0.782608695652174,10.676521599821685
identity_strict,equal,0.0,pessimistic,8,0.8947747945785522,0.29104316234588623,0.9036080241203308,0.20730875432491302,0.999197592778335,0.9308270058788827,1.0734514431442577,0.01546298940780569,1.0723156642569298,0.0021138620846606255,0.08587593047840328,8,0.9651442307692307,8437,0.9632570819011497,1.0357563479937046,92,1.0,1.0743350438888382
identity_strict,equal,0.0,pessimistic,12,0.8947747945785522,0.29104316234588623,0.9036080241203308,0.20730875432491302,0.999197592778335,0.9189459688709787,1.0873300788358142,0.01565977942378551,1.0859625090641836,0.0025122720635410954,0.107903075869592,12,0.9591346153846154,8437,0.9506933744221879,1.035455955908265,92,1.0,1.0882291863017288
identity_strict,equal,0.0,pessimistic,20,0.8947747945785522,0.29104316234588623,0.9036080241203308,0.20730875432491302,0.9857572718154464,0.8662884380017082,1.1379088402580095,0.016376288041377286,1.135650405366492,0.003960636216559165,0.16296404153455205,20,0.9314903846153846,8437,0.9506933744221879,1.1001545983664647,92,1.0,1.154398058713084
identity_strict,equal,0.0,pessimistic,30,0.8947747945785522,0.29104316234588623,0.9036080241203308,0.20730875432491302,0.923370110330993,0.6205728608703563,1.4879318264675032,0.021306338207453285,1.477535785950606,0.013852177311370622,0.34096613254666736,30,0.7860576923076923,8437,0.8286120659002015,1.346700802587119,92,1.0,1.6116804830040126
identity_strict,equal,0.0,pessimistic,50,0.8947747945785522,0.29104316234588623,0.9036080241203308,0.20730875432491302,0.8136409227683049,0.11462206973065149,7.098466505449311,0.094087081583892,6.524679589814468,0.14660864285857364,0.669541872552145,50,0.23317307692307693,8437,0.2890837975583738,2.623450858958625,92,0.782608695652174,6.838495454307171
identity_strict,equal,0.0,pessimistic,80,0.8947747945785522,0.29104316234588623,0.9036080241203308,0.20730875432491302,0.7885656970912738,0.09838250012473915,8.015304511386187,0.10496381939067048,7.278951355682492,0.16398868038169448,0.6946657348378867,80,0.22115384615384615,8437,0.2880170676780846,3.07817893681788,92,0.782608695652174,7.969725882096024
identity_strict,equal,0.25,optimistic,8,0.6404685378074646,0.10097711533308029,0.6483619809150696,0.20778439939022064,0.9891675025075226,0.7836230705788777,1.262300128270605,0.01813401000294204,1.2575435751207726,0.007506528468805615,0.18422099416799984,8,0.8822115384615384,8437,0.9410928054995852,1.2071101253221173,92,1.0,1.2762189159113815
identity_strict,equal,0.25,optimistic,12,0.6404685378074646,0.10097711533308029,0.6483619809150696,0.20778439939022064,0.9045135406218656,0.18986765910111503,4.763915797477453,0.06515990115464096,4.51865941615943,0.09727722836310793,0.5350329647432926,12,0.25600961538461536,8437,0.32582671565722415,1.7478527327341906,92,0.9347826086956522,4.928560420272806
identity_strict,equal,0.25,optimistic,20,0.6404685378074646,0.10097711533308029,0.6483619809150696,0.20778439939022064,0.8914744232698094,0.14430411697890588,6.177747675765366,0.08289498227942547,5.748538373935459,0.12869436548004007,0.6297437700182998,20,0.25600961538461536,8437,0.2694085575441508,1.9089727475193559,92,0.8913043478260869,6.1852170901347465
identity_strict,equal,0.25,optimistic,30,0.6404685378074646,0.10097711533308029,0.6483619809150696,0.20778439939022064,0.8866599799398195,0.12720458100853801,6.970346294999443,0.09254606365159129,6.417814246760382,0.14527808050691482,0.6858348262732885,30,0.25600961538461536,8437,0.24937774090316464,2.009451437599625,92,0.8260869565217391,6.503811784473887
identity_strict,equal,0.25,optimistic,50,0.6404685378074646,0.10097711533308029,0.6483619809150696,0.20778439939022064,0.8858575727181545,0.11978773799495761,7.395227487770444,0.09763647217493202,6.770820037108384,0.15390807147326166,0.734369146780924,50,0.25600961538461536,8437,0.24854806210738414,2.133124774994032,92,0.782608695652174,6.543074330633707
