material_profile,process_profile,process_lambda,requested_clusters,ari_optimistic_reported,ari_reported_pessimistic,ari_optimistic_pessimistic
identity_strict,settings_all,0.75,80,0.6609126460206886,0.7308790582605235,0.6731105438940328
identity_strict,settings_all,1.0,8,0.4029529608884506,0.4240043609844342,0.42099619756419515
identity_strict,settings_all,1.0,12,0.254066730034447,0.202483799496021,0.3287212845855612
identity_strict,settings_all,1.0,20,0.39138859117843094,0.35291500767185224,0.46999148932276247
identity_strict,settings_all,1.0,30,0.4394924000852996,0.4065230252176012,0.4163107997344429
identity_strict,settings_all,1.0,50,0.5180742041085082,0.5318428299266487,0.43967374941630627
identity_strict,settings_all,1.0,80,0.7253568474381663,0.6901714578148063,0.6964570587894899
identity_strict,settings_numeric,0.0,8,0.03924942006359841,1.0,0.03924942006359841
identity_strict,settings_numeric,0.0,12,0.014976181893272296,0.8976247593843059,-0.002253389159043112
identity_strict,settings_numeric,0.0,20,0.7034141303504452,0.08505817510306166,0.05309778728001015
identity_strict,settings_numeric,0.0,30,0.8701434434496215,0.17993941171577316,0.15250881566088684
identity_strict,settings_numeric,0.0,50,0.914510249336182,0.45826714511710687,0.44788786870870567
identity_strict,settings_numeric,0.0,80,0.920706983002375,0.43435708469489376,0.41698196210582644
identity_strict,settings_numeric,0.25,8,0.07296349528386652,0.23811597774039278,0.14597244207883334
identity_strict,settings_numeric,0.25,12,0.7550952464744646,0.8420724569576965,0.6342325391590449
identity_strict,settings_numeric,0.25,20,0.6771561973636875,0.6053049307956546,0.5171794236227524
identity_strict,settings_numeric,0.25,30,0.9404436868173698,0.868940800684683,0.8479980692460515
identity_strict,settings_numeric,0.25,50,0.9857514066705689,0.8881726916380475,0.8853172880370344
identity_strict,settings_numeric,0.25,80,0.9126858109405916,0.6212888761301841,0.6535233528519606
identity_strict,settings_numeric,0.5,8,0.3448208368423733,0.20022431560253032,0.020610249624766853
identity_strict,settings_numeric,0.5,12,0.6922917980987013,0.6061029387062624,0.6581504313536636
identity_strict,settings_numeric,0.5,20,0.888500246245552,0.6990376795977751,0.6662969473107331
identity_strict,settings_numeric,0.5,30,0.901327345634901,0.6818872562529186,0.6908252042546885
identity_strict,settings_numeric,0.5,50,0.9024012288622261,0.7446252514514469,0.7639787292212483
identity_strict,settings_numeric,0.5,80,0.7524492305898324,0.5958852990094046,0.6514608796138446
identity_strict,settings_numeric,0.75,8,0.23156271549001303,0.46182589094197146,0.40361741694868075
identity_strict,settings_numeric,0.75,12,0.5438158878861673,0.6098538217048507,0.4875884727516936
identity_strict,settings_numeric,0.75,20,0.5293895438635976,0.631823894483553,0.5382982495692836
identity_strict,settings_numeric,0.75,30,0.635475815261295,0.4681983304936153,0.5274599831405047
identity_strict,settings_numeric,0.75,50,0.5080263958639718,0.6072828956418115,0.5080275780375735
identity_strict,settings_numeric,0.75,80,0.7369990077848124,0.7598378980402029,0.611775191001845
identity_strict,settings_numeric,1.0,8,0.5331810551321617,0.06846037267715772,0.15882503440714052
identity_strict,settings_numeric,1.0,12,0.48466501702890186,0.4060049897764248,0.33175191196333104
identity_strict,settings_numeric,1.0,20,0.3110640822545017,0.4359699342213593,0.22214877307837935
identity_strict,settings_numeric,1.0,30,0.4350946760028563,0.4210807662945895,0.36076397657018305
identity_strict,settings_numeric,1.0,50,0.5928508853619862,0.5523158430212798,0.5535061911555674
identity_strict,settings_numeric,1.0,80,0.7205938520024394,0.6623342143246289,0.6007001368162439
identity_strict,no_settings,0.0,8,0.03924942006359841,1.0,0.03924942006359841
identity_strict,no_settings,0.0,12,0.014976181893272296,0.8976247593843059,-0.002253389159043112
identity_strict,no_settings,0.0,20,0.7034141303504452,0.08505817510306166,0.05309778728001015
identity_strict,no_settings,0.0,30,0.8701434434496215,0.17993941171577316,0.15250881566088684
identity_strict,no_settings,0.0,50,0.914510249336182,0.45826714511710687,0.44788786870870567
identity_strict,no_settings,0.0,80,0.920706983002375,0.43435708469489376,0.41698196210582644
identity_strict,no_settings,0.25,8,0.6247921986404328,0.704442452780889,0.4240872394283241
identity_strict,no_settings,0.25,12,0.49009922078336754,0.706627806289891,0.45617590699110766
identity_strict,no_settings,0.25,20,0.8472249752734529,0.6103517326630591,0.6320054505600308
identity_strict,no_settings,0.25,30,0.9334056442081826,0.6958061060605498,0.6563991984733376
identity_strict,no_settings,0.25,50,0.9907353983089693,0.6775771179939041,0.6750320074687398
identity_strict,no_settings,0.25,80,0.9325974524438242,0.5667203687606664,0.5384634701474595
identity_strict,no_settings,0.5,8,0.5180177294181707,0.5116847606545839,0.8224678607087191
identity_strict,no_settings,0.5,12,0.5384532320817037,0.83583800817679,0.5804092531058058
identity_strict,no_settings,0.5,20,0.7198875395904409,0.7275358320035763,0.8582229244201895
identity_strict,no_settings,0.5,30,0.6696854658323338,0.704113475492946,0.859391429559665
identity_strict,no_settings,0.5,50,0.5838373247941286,0.589905835492765,0.8744039220218656
identity_strict,no_settings,0.5,80,0.7572833401740945,0.7705138859607393,0.7533277903248073
identity_strict,no_settings,0.75,8,0.6984190882905643,0.9709445869031279,0.7058944568000904
identity_strict,no_settings,0.75,12,0.9551653655286595,0.97106084838551,0.9627103021308391
identity_strict,no_settings,0.75,20,0.697791175399876,0.7770029879838499,0.7128583050818604
identity_strict,no_settings,0.75,30,0.7736448751882381,0.7964454833012967,0.7880771187364499
identity_strict,no_settings,0.75,50,0.8485776054764439,0.8909568242545429,0.9089372030737946
