left,right,occurrence_settings,aligned_settings,fixed_scale_balanced,subset_scale_balanced,augmented_descriptors_balanced
l316-s5-chandrasekaran-2013,l308-s3-demetrio-2013,1.0,0.8997289972899729,0.7573226880429663,0.7572401966001954,0.7702384128204806
l258-s4-du-2004,l209-s12-ash-2001,1.0,1.0,0.8169510324009455,0.8061869603470054,0.809947957600577
l308-s4-demetrio-2013,l252-s3-ameli-2014,0.984375,0.984375,0.6899570206151401,0.6889236675917171,0.6852018922744996
l142-s2-gao-2014,l278-s1-choi-2001,0.654772274763564,0.6979257404181185,0.7029787829766052,0.7029803471667997,0.5979833748489912
l380-s1-zhao-2017,l146-s3-tao-2011,1.0,1.0,1.0,1.0,0.8486631786737475
l110-s7-singha-2008,l285-s3-pham-2012,0.910126306620209,0.910126306620209,0.7440635518354832,0.7421296769722898,0.7308997381380054
l129-s12-wu-2011,l318-s4-patsidis-2014,0.5512727448703059,0.5512727448703059,0.6832032284709146,0.673553865111321,0.5992417996126611
l110-s7-singha-2008,l382-s1-huang-2019,0.9166666666666666,0.9166666666666666,0.9045698924731183,0.9045698924731183,0.7554167061129757
l142-s2-gao-2014,l212-s5-ghanbari-2012,0.8773793392695831,1.0,0.9005486869095715,0.8941519432112974,0.8711444355123779
l254-s7-castillo-2011,l376-s6-carroll-2017,0.916553843641115,0.9186444359756096,0.8487401235138514,0.8487422221356955,0.790099626772855
l240-s6-hong-2005,l210-s4-zhang-2014,1.0,1.0,0.7898809523809525,0.7898809523809525,0.7268514728929795
l211-s17-ash-2004,e139-s6-hassinger-2016,1.0,1.0,0.7917113715638353,0.7900405780942784,0.7457115001223461
l120-s11-murugaraj-2005,l297-s2-shen-2004,0.8741153092334495,0.98046875,0.6570033276256212,0.6418613809970648,0.598865302702129
l380-s1-zhao-2017,l121-s8-nelson-2005,0.9889705882352942,0.9889705882352942,0.9376157069527563,0.9376157069527563,0.7862788856265037
l316-s5-chandrasekaran-2013,l259-s3-chen-2017,0.858830574912892,0.8468713704994193,0.5378613811058455,0.5372977920010067,0.5152482637149227
l180-s3-maillard-2012,l146-s3-tao-2011,1.0,1.0,0.8393273703910843,0.8340454636947577,0.791264955055904
l290-s24-si-2006,l388-s1-benes-2018,1.0,1.0,0.9254032258064516,0.9254032258064516,0.772974586997144
l174-s6-ramanathan-2008,e410-s2-prasad-2021,1.0,1.0,0.7138242503612996,0.7128061709016594,0.6789782997156169
l182-s7-hoepfner-2017,l324-s5-zhu-2017,0.9322916666666666,0.9261363636363636,0.6108483413019151,0.6043974152107378,0.5735150172398873
l252-s3-ameli-2014,l209-s12-ash-2001,1.0,1.0,0.8839598503229542,0.8741282280057289,0.8398848891148741
l209-s12-ash-2001,l120-s2-murugaraj-2005,0.7363530778164925,1.0,0.45951923343753476,0.4562589179597114,0.4362139082665333
l225-s1-ma-2007,l209-s7-ash-2001,1.0,1.0,0.8749999999999999,0.8749999999999999,0.7198418174830551
l383-s1-sadeghi-2017,l146-s4-tao-2011,1.0,1.0,1.0,1.0,0.8792340681992873
l210-s4-zhang-2014,l375-s4-rishi-2018,0.811555353130575,0.811555353130575,0.6947603869906852,0.6849401127674382,0.632063912550519
l302-s3-bandyopadhyay-2005,l191-s2-xie-2004,0.9020833333333333,0.7539960801393728,0.6646316756570823,0.6593816438876571,0.6166827345173285
l279-s1-motaung-2012,l306-s3-jiang-2008,0.2768475397626014,0.2768475397626014,0.5364737897025551,0.5644889764565044,0.42561480177784855
e116-s21-prasad-2018,l203-s17-ma-2009,0.9455909943714822,0.9455909943714822,0.6131506615766639,0.6127174890885684,0.5620121425765225
l182-s7-hoepfner-2017,l382-s1-huang-2019,0.9660859465737514,0.9599303135888502,0.8617595818815332,0.8617767358339984,0.7353726097388922
l196-s4-petersson-2006,l294-s4-sarwar-2007,0.9182346109175378,0.9558106169296988,0.723407798401328,0.718521507648815,0.6882985088102511
l225-s8-ma-2007,l302-s3-bandyopadhyay-2005,0.7307859823103726,1.0,0.7216723316830492,0.7137074580148786,0.6559864670516592
