pair,mask,policy,original_lower,original_upper,lower,upper,reported,interval_contains_original_interval,width_shrank,common_reported_fraction,structural_difference_fraction,excluded_weight,sparse_zero
264,unilateral,fixed_schema,0.5121951219512195,1.0,0.2926829268292683,1.0,1.0,True,False,0.0,0.2926829268292683,80.0,False
264,bilateral,fixed_schema,0.5121951219512195,1.0,0.2926829268292683,1.0,1.0,True,False,0.0,0.2926829268292683,80.0,False
264,article_block,fixed_schema,0.5121951219512195,1.0,0.17073170731707318,1.0,1.0,True,False,0.0,0.17073170731707318,80.0,False
265,unilateral,active,0.863477985429205,0.9543870763382959,0.6363636363636364,1.0,1.0,True,False,0.09090909090909091,0.5454545454545454,0.0,False
265,bilateral,active,0.863477985429205,0.9543870763382959,0.34982578397212544,0.9498257839721255,0.8745644599303136,False,False,0.1,0.3,1.0,False
265,article_block,active,0.863477985429205,0.9543870763382959,0.5907507127019321,0.9543870763382959,0.9283225485316077,True,False,0.09090909090909091,0.5454545454545454,0.0,False
265,unilateral,fixed_schema,0.4522979923676788,0.9761075161772026,0.3333333333333333,1.0,1.0,True,False,0.047619047619047616,0.2857142857142857,100.0,False
265,bilateral,fixed_schema,0.4522979923676788,0.9761075161772026,0.16658370665339306,0.9761075161772026,0.8745644599303136,True,False,0.047619047619047616,0.14285714285714285,100.0,False
265,article_block,fixed_schema,0.4522979923676788,0.9761075161772026,0.3094408495105359,0.9761075161772026,0.9283225485316077,True,False,0.047619047619047616,0.2857142857142857,100.0,False
266,unilateral,active,1.0,1.0,0.7647058823529411,1.0,1.0,True,False,0.0,0.7647058823529411,0.0,False
266,bilateral,active,1.0,1.0,0.47058823529411764,1.0,1.0,True,False,0.0,0.47058823529411764,0.0,False
266,article_block,active,1.0,1.0,0.7647058823529411,1.0,1.0,True,False,0.0,0.7647058823529411,0.0,False
266,unilateral,fixed_schema,0.4722222222222222,1.0,0.3611111111111111,1.0,1.0,True,False,0.0,0.3611111111111111,85.0,False
266,bilateral,fixed_schema,0.4722222222222222,1.0,0.2222222222222222,1.0,1.0,True,False,0.0,0.2222222222222222,85.0,False
266,article_block,fixed_schema,0.4722222222222222,1.0,0.3611111111111111,1.0,1.0,True,False,0.0,0.3611111111111111,85.0,False
267,unilateral,active,0.328125,0.8735795454545454,0.1109375,0.9109375,0.5546875,True,False,0.1,0.1,2.0,False
267,bilateral,active,0.328125,0.8735795454545454,0.326171875,0.951171875,0.8697916666666666,True,False,0.0625,0.3125,6.0,False
267,article_block,active,0.328125,0.8735795454545454,0.25,1.0,1.0,True,False,0.0,0.25,6.0,False
267,unilateral,fixed_schema,0.20625,0.9205357142857142,0.06339285714285714,0.9491071428571428,0.5546875,True,False,0.05714285714285714,0.05714285714285714,86.0,False
267,bilateral,fixed_schema,0.20625,0.9205357142857142,0.14910714285714285,0.9776785714285714,0.8697916666666666,True,False,0.02857142857142857,0.14285714285714285,86.0,False
267,article_block,fixed_schema,0.20625,0.9205357142857142,0.11428571428571428,1.0,1.0,True,False,0.0,0.11428571428571428,86.0,False
268,unilateral,active,0.8421052631578947,0.9473684210526315,0.7777777777777778,1.0,1.0,True,False,0.0,0.7777777777777778,1.0,False
268,bilateral,active,0.8421052631578947,0.9473684210526315,0.5263157894736842,1.0,1.0,True,False,0.0,0.5263157894736842,0.0,False
268,article_block,active,0.8421052631578947,0.9473684210526315,0.7222222222222222,1.0,1.0,True,False,0.0,0.7222222222222222,1.0,False
268,unilateral,fixed_schema,0.4444444444444444,0.9722222222222222,0.3888888888888889,1.0,1.0,True,False,0.0,0.3888888888888889,85.0,False
268,bilateral,fixed_schema,0.4444444444444444,0.9722222222222222,0.2777777777777778,1.0,1.0,True,False,0.0,0.2777777777777778,85.0,False
268,article_block,fixed_schema,0.4444444444444444,0.9722222222222222,0.3611111111111111,1.0,1.0,True,False,0.0,0.3611111111111111,85.0,False
269,unilateral,active,0.8023228803716608,0.9356562137049942,0.5356562137049942,0.9356562137049942,0.8927603561749903,True,False,0.13333333333333333,0.4666666666666667,0.0,False
269,bilateral,active,0.8023228803716608,0.9356562137049942,0.5714285714285714,1.0,1.0,True,False,0.14285714285714285,0.42857142857142855,1.0,False
269,article_block,active,0.8023228803716608,0.9356562137049942,0.6153846153846154,1.0,1.0,True,False,0.0,0.6153846153846154,2.0,False
269,unilateral,fixed_schema,0.38822074856693267,0.9688659098572552,0.25918849050241655,0.9688659098572552,0.8927603561749903,True,False,0.06451612903225806,0.22580645161290322,90.0,False
269,bilateral,fixed_schema,0.38822074856693267,0.9688659098572552,0.25806451612903225,1.0,1.0,True,False,0.06451612903225806,0.1935483870967742,90.0,False
269,article_block,fixed_schema,0.38822074856693267,0.9688659098572552,0.25806451612903225,1.0,1.0,True,False,0.0,0.25806451612903225,90.0,False
270,unilateral,active,0.6923076923076923,1.0,0.46153846153846156,1.0,1.0,True,False,0.0,0.46153846153846156,0.0,False
270,bilateral,active,0.6923076923076923,1.0,0.18181818181818182,1.0,1.0,True,False,0.0,0.18181818181818182,2.0,False
