record_id,paper_group,method_id,process_method,display_label,view,cluster,pcoa1,pcoa2
l392-s1-wang-2020,article:l392,M1,Solution Processing,Solution processing,method_blind_process,1,0.2982136612585061,0.36680158110799416
e410-s2-prasad-2021,article:e410,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.16627123117882153,-0.14045720328366718
l276-s4-huang-2009,article:l276,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.43706181307367326,-0.13012179943589305
l289-s1-motaung-2012,article:l289,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3089824087253846,-0.2974038025872267
l294-s6-sarwar-2007,article:l294,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.25397060464913374,0.048007962742272446
e139-s6-hassinger-2016,article:e139,M1,Solution Processing,Solution processing,method_blind_process,1,0.1516848880616202,-0.13927606105425902
l306-s2-jiang-2008,article:l306,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.20803860360241605,-0.2643539015645392
e408-s24-prasad-2021,article:e408,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.16258748413513738,-0.13968492478727065
l236-s9-fukushima-2012,article:l236,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.1449957615896368,-0.19332400384816875
l306-s3-jiang-2008,article:l306,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.20803860360241608,-0.2643539015645393
l120-s2-murugaraj-2005,article:l120,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.5171802382257116,-0.14181068880023512
e116-s21-prasad-2018,article:e116,M1,Solution Processing,Solution processing,method_aware_process,1,-0.059807240795286,-0.30571964994299167
l225-s8-ma-2007,article:l225,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.27500315023348626,0.18480826189586885
l182-s7-hoepfner-2017,article:l182,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.30434372748902194,0.10006415203297046
l254-s7-castillo-2011,article:l254,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.2806042980061722,0.08590728184477842
l171-s15-rittigstein-2006,article:l171,M1,Solution Processing,Solution processing,method_aware_process,1,0.035171566006561565,-0.33459568901743236
l320-s2-wang-2014,article:l320,M1,Solution Processing,Solution processing,method_aware_process,1,0.05007042692862651,-0.3541743168774733
l324-s5-zhu-2017,article:l324,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.27658645586177294,0.1892416101960687
l174-s6-ramanathan-2008,article:l174,M1,Solution Processing,Solution processing,method_aware_process,1,-0.0775516039671524,-0.31742379007384247
l225-s1-ma-2007,article:l225,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.20263443077439636,0.2323775612590814
l196-s4-petersson-2006,article:l196,M1,Solution Processing,Solution processing,method_aware_process,1,0.030249566371283152,-0.2805567282694656
l385-s3-bailey-2019,article:l385,M1,Solution Processing,Solution processing,method_aware_process,1,0.11224725477356108,-0.36764062555575994
l308-s4-demetrio-2013,article:l308,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3001959227760823,0.13536381134492517
l240-s6-hong-2005,article:l240,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3475410363316731,0.08394125746401514
l262-s5-oyarzabal-2016,article:l262,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.38011426715051105,0.23868378302066315
l378-s1-sotta-2017,article:l378,M1,Solution Processing,Solution processing,method_aware_process,1,-0.13186198934548735,-0.3289780822387303
