record_id,paper_group,system_id,system_label,view,cluster,pcoa1,pcoa2
l217-s6-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,1,-0.04433613038490903,0.14130211809675974
l118-s9-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.3057692433587496,-0.14411368615657552
l171-s27-rittigstein-2006,article:l171,S1,PMMA / SiO2,balanced_instance,1,-0.2151064157973608,0.08365798680428195
l154-s6-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,1,0.014115515619945427,0.025416613766569097
l154-s4-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,1,-0.022972850123369127,0.025061004040920917
l217-s3-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,1,-0.039470732629812266,0.1264901908681115
l389-s6-natarajan-2013,article:l389,S6,PS / SiO2,balanced_instance,1,-0.1810080695494222,-0.09138328301865517
l389-s3-natarajan-2013,article:l389,S6,PS / SiO2,balanced_instance,1,-0.13921498206859204,-0.09101443137198527
l204-s4-bansal-2005,article:l204,S6,PS / SiO2,balanced_instance,1,-0.2068865375047352,0.03618139201444612
l203-s6-ma-2009,article:l203,S3,DGEBA epoxy / MWCNT,balanced_instance,1,0.02753003435489258,-0.15345338297702682
l118-s4-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.2944209333938063,-0.12863450850801844
l217-s4-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,1,-0.03947073262981225,0.12649019086811153
l271-s6-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.23671600242202404,-0.07786038522737594
l389-s12-natarajan-2013,article:l389,S1,PMMA / SiO2,balanced_instance,1,-0.18508539782167405,-0.039111643392159584
l271-s5-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.23977441623781212,-0.07893058346715141
l271-s8-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.2527608161236134,-0.07638081311967439
l389-s11-natarajan-2013,article:l389,S1,PMMA / SiO2,balanced_instance,1,-0.14198915173677404,-0.0394957397993656
e408-s24-prasad-2021,article:e408,S6,PS / SiO2,balanced_instance,1,0.07282267680447004,0.10102468038048196
l180-s4-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,1,-0.1395385847624896,-0.1865724522675269
e408-s3-prasad-2021,article:e408,S6,PS / SiO2,balanced_instance,1,0.07143540086048124,0.10225986183532164
l154-s2-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,1,0.040494505668517096,0.025615060004328793
l154-s5-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,1,0.04049450566851709,0.025615060004328852
