sample_id,article_group,view,mask_fraction,replicate,distance_threshold,rule,eligible_pairs,reference_close_pairs,accepted_pairs,contradictory_pairs,retained_reference_close_pairs,point_defined_pairs
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.3,interval_upper,119,3,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.3,coverage_0.5,119,3,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.3,coverage_0.75,119,3,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.4,reported_point,119,5,5,0,5,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.4,interval_upper,119,5,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.4,coverage_0.5,119,5,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.4,coverage_0.75,119,5,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.5,reported_point,119,8,8,0,8,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.5,interval_upper,119,8,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.5,coverage_0.5,119,8,0,0,0,119
l212-s5-ghanbari-2012,article:l212,material_identity,0.0,0,0.5,coverage_0.75,119,8,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.1,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.1,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.2,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.2,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.2,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.3,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.3,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.3,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.3,coverage_0.75,119,0,0,0,0,119
