sample_id,article_group,mask_fraction,replicate,reported_setting_count,masked_keys
l385-s3-bailey-2019,article:l385,0.75,1,12,"[""additive#0:additive"", ""additive#2:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""mixing#1:mixing method"", ""mixing#1:time"", ""solvent#0:solvent name"", ""solvent#1:solvent name"", ""solvent#2:solvent name""]"
l385-s3-bailey-2019,article:l385,0.75,2,12,"[""additive#0:additive"", ""additive#2:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:time"", ""solvent#0:solvent name"", ""solvent#1:solvent name""]"
l308-s4-demetrio-2013,article:l308,0.25,0,4,"[""mixing#0:temperature""]"
l308-s4-demetrio-2013,article:l308,0.25,1,4,"[""solvent#0:solvent name""]"
l308-s4-demetrio-2013,article:l308,0.25,2,4,"[""solvent#0:solvent name""]"
l308-s4-demetrio-2013,article:l308,0.5,0,4,"[""mixing#0:mixing method"", ""solvent#0:solvent name""]"
l308-s4-demetrio-2013,article:l308,0.5,1,4,"[""mixing#0:time"", ""solvent#0:solvent name""]"
l308-s4-demetrio-2013,article:l308,0.5,2,4,"[""mixing#0:mixing method"", ""mixing#0:temperature""]"
l308-s4-demetrio-2013,article:l308,0.75,0,4,"[""mixing#0:mixing method"", ""mixing#0:temperature"", ""solvent#0:solvent name""]"
l308-s4-demetrio-2013,article:l308,0.75,1,4,"[""mixing#0:temperature"", ""mixing#0:time"", ""solvent#0:solvent name""]"
l308-s4-demetrio-2013,article:l308,0.75,2,4,"[""mixing#0:mixing method"", ""mixing#0:time"", ""solvent#0:solvent name""]"
l240-s6-hong-2005,article:l240,0.25,0,3,"[""mixing#0:temperature""]"
l240-s6-hong-2005,article:l240,0.25,1,3,"[""mixing#0:mixer""]"
l240-s6-hong-2005,article:l240,0.25,2,3,"[""mixing#0:time""]"
l240-s6-hong-2005,article:l240,0.5,0,3,"[""mixing#0:mixer"", ""mixing#0:temperature""]"
l240-s6-hong-2005,article:l240,0.5,1,3,"[""mixing#0:mixer"", ""mixing#0:time""]"
l240-s6-hong-2005,article:l240,0.5,2,3,"[""mixing#0:temperature"", ""mixing#0:time""]"
l240-s6-hong-2005,article:l240,0.75,0,3,"[""mixing#0:mixer"", ""mixing#0:temperature"", ""mixing#0:time""]"
