view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
experimental_protocol,0.25,0.3,coverage_0.75,42666,24,0,264,24,93,360,0.0005625087891998312,9.530003114365748e-05,0.0011543445450128795,0.0,0.0,0.0,0.09090909090909091,0.020194482134780645,0.17545876184714657
experimental_protocol,0.25,0.3,interval_upper,42666,21,0,264,21,93,360,0.0004921951905498523,0.00013840734692040566,0.0009458429465654339,0.0,0.0,0.0,0.07954545454545454,0.026501623376623377,0.14125353107344632
experimental_protocol,0.25,0.3,reported_point,42666,317,82,264,235,93,360,0.007429803590681104,0.004844888368832497,0.010405230665674163,0.2586750788643533,0.11894314537869974,0.4050090668154554,0.8901515151515151,0.8332854406130269,0.9497716894977168
experimental_protocol,0.25,0.4,coverage_0.5,42666,673,214,534,459,93,360,0.015773683963811933,0.01204366991987554,0.019851122392311005,0.3179791976225854,0.22690499983914295,0.40754442641292626,0.8595505617977528,0.802010347376201,0.9079594494047619
experimental_protocol,0.25,0.4,coverage_0.75,42666,26,0,534,26,93,360,0.0006093845216331506,9.530003114365748e-05,0.0012743205640613354,0.0,0.0,0.0,0.04868913857677903,0.009247076023391813,0.09453160334690185
experimental_protocol,0.25,0.4,interval_upper,42666,104,0,534,104,93,360,0.002437538086532602,0.0012554503208366484,0.003954471434922731,0.0,0.0,0.0,0.1947565543071161,0.10658968780796192,0.29711727873927113
experimental_protocol,0.25,0.4,reported_point,42666,673,214,534,459,93,360,0.015773683963811933,0.01204366991987554,0.019851122392311005,0.3179791976225854,0.22690499983914295,0.40754442641292626,0.8595505617977528,0.802010347376201,0.9079594494047619
experimental_protocol,0.25,0.5,coverage_0.5,42666,1528,271,1548,1257,93,360,0.03581305957905592,0.03016467052825499,0.0419443457297592,0.17735602094240838,0.13946839049943158,0.22370602840927623,0.812015503875969,0.7814523257482148,0.8443110337972166
experimental_protocol,0.25,0.5,coverage_0.75,42666,27,0,1548,27,93,360,0.0006328223878498101,9.530003114365748e-05,0.0013143319506274303,0.0,0.0,0.0,0.01744186046511628,0.002956229682972614,0.03473491773308958
experimental_protocol,0.25,0.5,interval_upper,42666,346,0,1548,346,93,360,0.008109501710964234,0.005825264947694757,0.010380526233325572,0.0,0.0,0.0,0.2235142118863049,0.17474158334540887,0.2687743557510999
experimental_protocol,0.25,0.5,reported_point,42666,1528,271,1548,1257,93,360,0.03581305957905592,0.03016467052825499,0.0419443457297592,0.17735602094240838,0.13946839049943158,0.22370602840927623,0.812015503875969,0.7814523257482148,0.8443110337972166
experimental_protocol,0.5,0.1,coverage_0.5,42666,108,64,48,44,93,360,0.0025312895513992404,0.001388260209255006,0.0038474982292949207,0.5925925925925926,0.37837013843111406,0.7857488479262672,0.9166666666666666,0.8180976430976431,1.0
experimental_protocol,0.5,0.1,coverage_0.75,42666,1,1,48,0,93,360,2.3437866216659635e-05,0.0,7.14796283059328e-05,1.0,1.0,1.0,0.0,0.0,0.0
experimental_protocol,0.5,0.1,interval_upper,42666,0,0,48,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.5,0.1,reported_point,42666,108,64,48,44,93,360,0.0025312895513992404,0.001388260209255006,0.0038474982292949207,0.5925925925925926,0.37837013843111406,0.7857488479262672,0.9166666666666666,0.8180976430976431,1.0
experimental_protocol,0.5,0.2,coverage_0.5,42666,176,89,108,87,93,360,0.004125064454132096,0.0025742378301891115,0.005937739804226169,0.5056818181818182,0.3636250565355043,0.6600562913907284,0.8055555555555556,0.6664634146341463,0.9035087719298246
experimental_protocol,0.5,0.2,coverage_0.75,42666,2,1,108,1,93,360,4.687573243331927e-05,0.0,0.0001429592566118656,0.5,0.5,0.5,0.009259259259259259,0.0,0.03125
experimental_protocol,0.5,0.2,interval_upper,42666,0,0,108,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.5,0.2,reported_point,42666,176,89,108,87,93,360,0.004125064454132096,0.0025742378301891115,0.005937739804226169,0.5056818181818182,0.3636250565355043,0.6600562913907284,0.8055555555555556,0.6664634146341463,0.9035087719298246
experimental_protocol,0.5,0.3,coverage_0.5,42666,360,138,264,222,93,360,0.00843763183799747,0.005561401187278534,0.01156597940809082,0.38333333333333336,0.25330434782608696,0.5065531295487627,0.8409090909090909,0.7499556737588653,0.9300574501894634
experimental_protocol,0.5,0.3,coverage_0.75,42666,5,0,264,5,93,360,0.00011718933108329818,0.0,0.00035739814152966406,0.0,0.0,0.0,0.01893939393939394,0.0,0.05749647106271423
experimental_protocol,0.5,0.3,interval_upper,42666,2,0,264,2,93,360,4.687573243331927e-05,0.0,0.0001429592566118656,0.0,0.0,0.0,0.007575757575757576,0.0,0.022998588425085693
experimental_protocol,0.5,0.3,reported_point,42666,360,138,264,222,93,360,0.00843763183799747,0.005561401187278534,0.01156597940809082,0.38333333333333336,0.25330434782608696,0.5065531295487627,0.8409090909090909,0.7499556737588653,0.9300574501894634
experimental_protocol,0.5,0.4,coverage_0.5,42666,699,277,534,422,93,360,0.016383068485445084,0.012364990908927663,0.020564218693928785,0.39628040057224606,0.3110168713726549,0.4738659251263472,0.7902621722846442,0.7267578983732178,0.8506850566313482
experimental_protocol,0.5,0.4,coverage_0.75,42666,5,0,534,5,93,360,0.00011718933108329818,0.0,0.00035739814152966406,0.0,0.0,0.0,0.009363295880149813,0.0,0.02718517295219792
experimental_protocol,0.5,0.4,interval_upper,42666,79,0,534,79,93,360,0.0018515914311161112,0.00089755643542325,0.002975068211185995,0.0,0.0,0.0,0.14794007490636704,0.07936507936507936,0.2275517310702336
experimental_protocol,0.5,0.4,reported_point,42666,699,277,534,422,93,360,0.016383068485445084,0.012364990908927663,0.020564218693928785,0.39628040057224606,0.3110168713726549,0.4738659251263472,0.7902621722846442,0.7267578983732178,0.8506850566313482
experimental_protocol,0.5,0.5,coverage_0.5,42666,1350,306,1548,1044,93,360,0.03164111939249051,0.0266010742596162,0.037233958184693966,0.22666666666666666,0.18519484010682885,0.2731822234247341,0.6744186046511628,0.6385170479611773,0.7166042188332689
experimental_protocol,0.5,0.5,coverage_0.75,42666,5,0,1548,5,93,360,0.00011718933108329818,0.0,0.00035739814152966406,0.0,0.0,0.0,0.003229974160206718,0.0,0.009652976408295556
