config_id,profile,variant,process_lambda,clusters,process_positive_coverage_mean,positive_coassignment,composition_matched_expected,excess,component_equal_excess,source_matched_component_equal_excess,delta_vs_composition_same_k,mask_control_component_excess,delta_vs_mask_control,mrr,source_matched_delta_vs_composition_same_k,source_matched_mask_control_component_excess,source_matched_delta_vs_mask_control,mrr_delta_vs_composition,hit_at_10,recall_at_10,nonidentical_component_equal_excess,source_matched_nonidentical_component_equal_excess,largest_cluster_fraction,singleton_fraction
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,150,0.5397567749023438,0.7782974742750234,0.22090439016131858,0.5573930841137048,0.5382587259581298,0.4243822066983745,0.051263866646624245,0.5720432793893331,-0.033784553431203235,0.04265171238799773,0.05733796236116562,0.3965164508018963,0.027865755896478217,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.4890155251280077,0.4064316773204424,0.05023796932839767,0.016922263352723427
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,200,0.5397567749023438,0.7717492984097287,0.17823617336181877,0.59351312504791,0.5431353686969737,0.4420697370160292,0.087452086329182,0.5421954319724499,0.0009399367245237489,0.04265171238799773,0.08839837864882144,0.41672508120412116,0.025344655811908035,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.47834611603080485,0.40896205801105756,0.04547858276044421,0.024325753569539928
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,250,0.5397567749023438,0.656688493919551,0.1466623180907967,0.5100261758287543,0.4985808571811539,0.40682585768311197,0.04287192667446843,0.4949667868557442,0.003614070325409724,0.04265171238799773,0.04334773560123267,0.3938918660331871,0.01293399164992487,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.40993810564819716,0.351837775516547,0.041248016922263354,0.035959809624537285
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,300,0.5397567749023438,0.5360149672591207,0.12063172446277445,0.4153832427963462,0.46706291791453514,0.3850981744295841,0.03119473000437667,0.48268677757743483,-0.015623859662899697,0.04265171238799773,0.029351753527160684,0.4030230979504572,-0.017924923520873104,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.34204721511674374,0.2923635589038314,0.041248016922263354,0.048122686409307246
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,400,0.5397567749023438,0.45182413470533206,0.09436596812812187,0.3574581665772102,0.4584239568818539,0.39129138470350994,0.04731132495843282,0.4238035911343687,0.03462036574748517,0.04265171238799773,0.049242285866899105,0.3574525936310444,0.03383879107246551,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.31088265104439056,0.27816722025572727,0.035430988894764676,0.0750925436277102
THERM_ONLY__optimistic__L100,THERM_ONLY,optimistic,1.0,25,0.5397567749023438,0.8437792329279701,0.5431930024982189,0.3005862304297512,0.3897582161308457,0.23310263716376678,0.03428636224570919,0.3783981928389957,0.011360023291850041,0.04306421078223033,0.05097143849622465,0.13808489850176722,0.09501773866199956,0.00024266441896210467,0.028985507246376812,0.016304347826086956,0.42776148588532675,0.29841391958355495,0.24378635642517188,0.0010576414595452142
THERM_ONLY__optimistic__L100,THERM_ONLY,optimistic,1.0,50,0.5397567749023438,0.8288119738072965,0.4437270720305171,0.38508490177677945,0.47538798212175665,0.3098552088319207,0.10288386508397146,0.4383543494562461,0.037033632665510574,0.04306421078223033,0.1108722792427922,0.1931941498024025,0.1166610590295182,0.00024266441896210467,0.028985507246376812,0.016304347826086956,0.5133978243097056,0.3905786386881365,0.15758857747223692,0.0026441036488630354
THERM_ONLY__optimistic__L100,THERM_ONLY,optimistic,1.0,75,0.5397567749023438,0.8072965388213283,0.35471025392633687,0.4525862848949915,0.4946698376066686,0.34335963471767456,0.043444820933047634,0.45564985997327934,0.03901997763338927,0.04306421078223033,0.038209194501975574,0.22617888021161103,0.11718075450606352,0.00024266441896210467,0.028985507246376812,0.016304347826086956,0.5070666792842771,0.39080206806875717,0.08038075092543628,0.004759386567953464
THERM_ONLY__optimistic__L100,THERM_ONLY,optimistic,1.0,100,0.5397567749023438,0.784845650140318,0.29763093092346926,0.4872147192168488,0.5089443227730731,0.36276584542590606,0.012536373545369184,0.5081097020656945,0.0008346207073786083,0.04306421078223033,-0.0004615359703940558,0.3029578290929555,0.059808016332950575,0.00024266441896210467,0.028985507246376812,0.016304347826086956,0.4801353818974126,0.37266095907069463,0.07086197778952935,0.010576414595452142
THERM_ONLY__optimistic__L100,THERM_ONLY,optimistic,1.0,125,0.5397567749023438,0.7839101964452759,0.2658376262890196,0.5180725701562563,0.5396031580421091,0.39761089361434343,0.04237757965025807,0.5438740587792048,-0.004270900737095684,0.04306421078223033,0.03164643809313539,0.3525713320018364,0.04503956161250705,0.00024266441896210467,0.028985507246376812,0.016304347826086956,0.5103386129063485,0.4033323019093893,0.06927551560021153,0.014278159703860392
